DATE,"S&P500 Index value (friday is closing, monday is open price)",change: Monday – Friday,Y = binary (0: went down or no change & 1: opened higher on Monday compared to last Friday's closing),,,,,,,$BTC
"Friday, August 21, 2020",3397.16,,,,,,,,,
"Monday, August 24, 2020",3418.09,20.93,1,,,,,,,
"Friday, August 28, 2020",3508.01,,,,,,,,,
"Monday, August 31, 2020",3509.73,1.72,1,,,,,,,
"Friday, September 4, 2020",3426.96,,,,,,,,,
"Monday, September 7, 2020",3371.88,-55.08,0,,,,,,,
"Friday, September 11, 2020",3340.97,,,,,,,,,
"Monday, September 14, 2020",3363.56,22.59,1,,,,,,,
"Friday, September 18, 2020",3319.47,,,,,,,,,
"Monday, September 21, 2020",3285.57,-33.9,0,,,,,,,
"Friday, September 25, 2020",3298.46,,,,,,,,,
"Monday, September 28, 2020",3333.9,35.44,1,,,,,,,
"Friday, October 2, 2020",3348.44,,,,,,,,,
"Monday, October 5, 2020",3367.27,18.83,1,,,,,,,
"Friday, October 9, 2020",3477.13,,,,,,,,,
"Monday, October 12, 2020",3500.02,22.89,1,,,,,,,
"Friday, October 16, 2020",3483.81,,,,,,,,,
"Monday, October 19, 2020",3493.66,9.85,1,,,,,,,
"Friday, October 23, 2020",3465.39,,,,,,,,,
"Monday, October 26, 2020",3441.42,-23.97,0,,,,,,,
"Friday, October 30, 2020",3269.96,,,,,,,,,
"Monday, November 2, 2020",3296.2,26.24,1,,,,,,,
"Friday, November 6, 2020",3509.44,,,,,,,,,
"Monday, November 9, 2020",3583.04,73.6,1,,,,,,,
"Friday, November 13, 2020",3585.15,,,,,,,,,
"Monday, November 16, 2020",3600.16,15.01,1,,,,,,,
"Friday, November 20, 2020",3557.54,,,,,,,,,
"Monday, November 23, 2020",3566.82,9.28,1,,,,,,,
"Friday, November 27, 2020",3638.35,,,,,,,,,
"Monday, November 30, 2020",3634.18,-4.17,0,,,,,,,
"Friday, December 4, 2020",3699.12,,,,,,,,,
"Monday, December 7, 2020",3694.73,-4.39,0,,,,,,,
"Friday, December 11, 2020",3663.46,,,,,,,,,
"Monday, December 14, 2020",3675.27,11.81,1,,,,,,,
"Friday, December 18, 2020",3709.41,,,,,,,,,
"Monday, December 21, 2020",3684.28,-25.13,0,,,,,,,
"Friday, December 25, 2020",3735.36,,,,,,,,,
"Monday, December 28, 2020",3694.03,-41.33,0,,,,,,,
"Friday, January 1, 2021",3700.65,,,,,,,,,
"Monday, January 4, 2021",3764.61,63.96,1,,,,,,,
"Friday, January 8, 2021",3824.68,,,,,,,,,
"Monday, January 11, 2021",3803.14,-21.54,0,,,,,,,
"Friday, January 15, 2021",3768.25,,,,,,,,,
"Monday, January 18, 2021",3781.88,13.63,1,,,,,,,
"Friday, January 22, 2021",3841.47,,,,,,,,,
"Monday, January 25, 2021",3851.68,10.21,1,,,,,,,
"Friday, January 29, 2021",3714.24,,,,,,,,,
"Monday, February 1, 2021",3731.17,16.93,1,,,,,,,
"Friday, February 5, 2021",3886.83,,,,,,,,,
"Monday, February 8, 2021",3892.59,5.76,1,,,,,,,
"Friday, February 12, 2021",3934.83,,,,,,,,,
"Monday, February 15, 2021",3939.61,4.78,1,,,,,,,
"Friday, February 19, 2021",3906.71,,,,,,,,,
"Monday, February 22, 2021",3885.55,-21.16,0,,,,,,,
"Friday, February 26, 2021",3811.15,,,,,,,,,
"Monday, March 1, 2021",3842.51,31.36,1,,,,,,,
"Friday, March 5, 2021",3841.94,,,,,,,,,
"Monday, March 8, 2021",3844.39,2.45,1,,,,,,,
"Friday, March 12, 2021",3943.34,,,,,,,,,
"Monday, March 15, 2021",3942.96,-0.38,0,,,,,,,
"Friday, March 19, 2021",3913.1,,,,,,,,,
"Monday, March 22, 2021",3916.48,3.38,1,,,,,,,
"Friday, March 26, 2021",3974.54,,,,,,,,,
"Monday, March 29, 2021",3969.31,-5.23,0,,,,,,,
"Friday, April 2, 2021",4077.91,,,,,,,,,
"Monday, April 5, 2021",4034.44,-43.47,0,,,,,,,
"Friday, April 9, 2021",4128.8,,,,,,,,,
"Monday, April 12, 2021",4124.71,-4.09,0,,,,,,,
"Friday, April 16, 2021",4185.47,,,,,,,,,
"Monday, April 19, 2021",4179.8,-5.67,0,,,,,,,
"Friday, April 23, 2021",4180.17,,,,,,,,,
"Monday, April 26, 2021",4185.03,4.86,1,,,,,,,
"Friday, April 30, 2021",4181.17,,,,,,,,,
"Monday, May 3, 2021",4191.98,10.81,1,,,,,,,
"Friday, May 7, 2021",4232.6,,,,,,,,,
"Monday, May 10, 2021",4228.29,-4.31,0,,,,,,,
"Friday, May 14, 2021",4173.85,,,,,,,,,
"Monday, May 17, 2021",4169.92,-3.93,0,,,,,,,
"Friday, May 21, 2021",4155.86,,,,,,,,,
"Monday, May 24, 2021",4170.16,14.3,1,,,,,,,
"Friday, May 28, 2021",4204.11,,,,,,,,,
"Monday, May 31, 2021",4216.52,12.41,1,,,,,,,
"Friday, June 4, 2021",4229.89,,,,,,,,,
"Monday, June 7, 2021",4229.34,-0.55,0,,,,,,,
"Friday, June 11, 2021",4247.44,,,,,,,,,
"Monday, June 14, 2021",4248.31,0.87,1,,,,,,,
"Friday, June 18, 2021",4166.45,,,,,,,,,
"Monday, June 21, 2021",4173.4,6.95,1,,,,,,,
"Friday, June 25, 2021",4280.7,,,,,,,,,
"Monday, June 28, 2021",4284.9,4.2,1,,,,,,,
"Friday, July 2, 2021",4352.34,,,,,,,,,
"Monday, July 5, 2021",4356.46,4.12,1,,,,,,,
"Friday, July 9, 2021",4369.55,,,,,,,,,
"Monday, July 12, 2021",4372.41,2.86,1,,,,,,,
"Friday, July 16, 2021",4327.16,,,,,,,,,
"Monday, July 19, 2021",4296.4,-30.76,0,,,,,,,
"Friday, July 23, 2021",4411.79,,,,,,,,,
"Monday, July 26, 2021",4409.58,-2.21,0,,,,,,,
"Friday, July 30, 2021",4395.26,,,,,,,,,
"Monday, August 2, 2021",4406.86,11.6,1,,,,,,,
"Friday, August 6, 2021",4436.52,,,,,,,,,
